anime_id,title,synopsis,era,genres_list,tags
53126,Yamada-kun to Lv999 no Koi wo Suru,boyfriend break another girl college student akane kinoshita wrestle broken heart memory leave behind loading forest savior mmo use play together form plan get back exboyfriend inperson event game process run someone unexpected akito yamada game legend happen guildmate desperate support akane rope asocial yamada help scheme lending shoulder cry difference akane yamada soon become apparent spend time together yet help notice others inner quality gain experience one another game tentative acquaintance may level way neither expect,2020's,"['romance', 'video game']","boyfriend break another girl college student akane kinoshita wrestle broken heart memory leave behind loading forest savior mmo use play together form plan get back exboyfriend inperson event game process run someone unexpected akito yamada game legend happen guildmate desperate support akane rope asocial yamada help scheme lending shoulder cry difference akane yamada soon become apparent spend time together yet help notice others inner quality gain experience one another game tentative acquaintance may level way neither expect romance, video game 2020's"
25835,Shirobako,start kaminoyama high school best friendsaoi miyamori ema yasuhara midori imai shizuka sakaki misa toudoudiscovered collective love thing anime form club make first amateur anime together showcasing culture festival vow pursue career industry aim one work together create mainstream half later aoi ema manage land job illustrious musashino production company others however find difficult get dream job shizuka feel weight recognize capable voice actor misa secure yet unsatisfying career design model car company midori university student intent pursue dream writer girl learn path success one many diversion dream still achieve perseverance touch eccentric creativity,2010's,"['adult cast', 'award winning', 'comedy', 'drama', 'otaku culture', 'workplace']","start kaminoyama high school best friendsaoi miyamori ema yasuhara midori imai shizuka sakaki misa toudoudiscovered collective love thing anime form club make first amateur anime together showcasing culture festival vow pursue career industry aim one work together create mainstream half later aoi ema manage land job illustrious musashino production company others however find difficult get dream job shizuka feel weight recognize capable voice actor misa secure yet unsatisfying career design model car company midori university student intent pursue dream writer girl learn path success one many diversion dream still achieve perseverance touch eccentric creativity adult cast, award winning, comedy, drama, otaku culture, workplace 2010's"
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,maquia member special race call iorphmystical being live hundred remain separate life daily trouble mankind however maquia always felt lonely despite surrounded people orphan young age daydream outside world dare travel home due warning clan chief one however outside world find powerhungry kingdom mezarte invades homeland already leave giant dragon renato control king wish add immortality iorph bloodline human renato ravage iorph homeland kill inhabitant catch midst attack maquia carry one renato go berserk soon die leave deserted forest far home truly alone save cry single baby distance maquia find baby destroy decides raise name ariel although know nothing human world raise child age much faster live smolder loneliness inside determine make work somehow,2010's,"['drama', 'fantasy']","maquia member special race call iorphmystical being live hundred remain separate life daily trouble mankind however maquia always felt lonely despite surrounded people orphan young age daydream outside world dare travel home due warning clan chief one however outside world find powerhungry kingdom mezarte invades homeland already leave giant dragon renato control king wish add immortality iorph bloodline human renato ravage iorph homeland kill inhabitant catch midst attack maquia carry one renato go berserk soon die leave deserted forest far home truly alone save cry single baby distance maquia find baby destroy decides raise name ariel although know nothing human world raise child age much faster live smolder loneliness inside determine make work somehow drama, fantasy 2010's"
40911,Yuukoku no Moriarty,late th century great britain become greatest empire world ever know hidden within success nation rigid economic hierarchy dictate value one life solely status wealth surprise system favor aristocracy top render impossible work class ascend rank william james moriarty son moriarty household live regular noble also consultant common folk give hand solve problem however deep inside lie desire destroy current structure dominate british society benefit alongside brother albert louis william anything take change filthy world live ineven blood spill,2020's,"['adult cast', 'historical', 'mystery', 'organized crime', 'psychological', 'shounen', 'suspense']","late th century great britain become greatest empire world ever know hidden within success nation rigid economic hierarchy dictate value one life solely status wealth surprise system favor aristocracy top render impossible work class ascend rank william james moriarty son moriarty household live regular noble also consultant common folk give hand solve problem however deep inside lie desire destroy current structure dominate british society benefit alongside brother albert louis william anything take change filthy world live ineven blood spill adult cast, historical, mystery, organized crime, psychological, shounen, suspense 2020's"
34451,Kekkai Sensen & Beyond,ago gateway earth beyond opened new york trap extradimensional creature human alike impermeable bubble city restoration monster magic madness common finding area know hellsalems lot leonardo watch young photographer unwillingly obtain allseeing eye god exchange sister eyesight come paranormal find answer mysterious power possesses later find life drastically change join libra secret organization people supernatural ability dedicate maintain order everyday chaos hellsalems lot however begin leonardos unexpected ahead regardless constant threat otherworldly enemy determine uncover secret power find way restore sister eyesight kekkai sensen beyond follow leonardo set crazy adventure comrades fighting ensure peace order,2010's,"['action', 'fantasy', 'shounen', 'super power', 'urban fantasy', 'vampire']","ago gateway earth beyond opened new york trap extradimensional creature human alike impermeable bubble city restoration monster magic madness common finding area know hellsalems lot leonardo watch young photographer unwillingly obtain allseeing eye god exchange sister eyesight come paranormal find answer mysterious power possesses later find life drastically change join libra secret organization people supernatural ability dedicate maintain order everyday chaos hellsalems lot however begin leonardos unexpected ahead regardless constant threat otherworldly enemy determine uncover secret power find way restore sister eyesight kekkai sensen beyond follow leonardo set crazy adventure comrades fighting ensure peace order action, fantasy, shounen, super power, urban fantasy, vampire 2010's"
10863,Steins;Gate: Oukoubakko no Poriomania,event steinsgate rintarou okabe invite tag along acquaintance faris nyannyan participate rainet event united state meet old colleague kurisu makise recall fragmented memory event happen world line form dream confronts okabe question whether eventsparticularly incident themdid indeed happen,2010's,"['comedy', 'sci-fi', 'time travel']","event steinsgate rintarou okabe invite tag along acquaintance faris nyannyan participate rainet event united state meet old colleague kurisu makise recall fragmented memory event happen world line form dream confronts okabe question whether eventsparticularly incident themdid indeed happen comedy, sci-fi, time travel 2010's"
232,Cardcaptor Sakura,tenyearold sakura kinomoto fourthgrade student live tomoeda one stumble upon mysterious book card title clow ponder discovery unintentionally cause magical gust wind scatter card accident awaken beast sealkeroberos nickname kerowho sakura release mystical clow card create sorcerer clow reed due card ability act independently incredible power clow seal away set free card pose great danger world sakura put end appointing sakura cardcaptor grant seal key kero task find recapture clow card alongside best friend tomoyo daidouji keros guidance sakura learn balance new secret duty everyday trouble take flight magical adventure cardcaptor sakura,1990's,"['adventure', 'comedy', 'drama', 'mahou shoujo', 'romance', 'school', 'shoujo']","tenyearold sakura kinomoto fourthgrade student live tomoeda one stumble upon mysterious book card title clow ponder discovery unintentionally cause magical gust wind scatter card accident awaken beast sealkeroberos nickname kerowho sakura release mystical clow card create sorcerer clow reed due card ability act independently incredible power clow seal away set free card pose great danger world sakura put end appointing sakura cardcaptor grant seal key kero task find recapture clow card alongside best friend tomoyo daidouji keros guidance sakura learn balance new secret duty everyday trouble take flight magical adventure cardcaptor sakura adventure, comedy, drama, mahou shoujo, romance, school, shoujo 1990's"
237,Koukyoushihen Eureka Seven,backwater bellforest life yearold boy name renton thurston desire leave home behind join mercenary know gekkostate hop find brighten mundane life however stuck grandfather insistence become mechanic like pressure decease father legacy excitement renton find pastime rid trapar wave particle disperse throughout air activity akin surf everything change unknown object crash rentons garage discover light find operationa robot capable rid trapar wavesspecifically know nirvash typezero pilot young girl name eureka member gekkostate request tuneup nirvash meeting spark begin rentons involvement gekkostate take alongside eureka copilot nirvash,2000's,"['action', 'adventure', 'drama', 'mecha', 'romance', 'sci-fi']","backwater bellforest life yearold boy name renton thurston desire leave home behind join mercenary know gekkostate hop find brighten mundane life however stuck grandfather insistence become mechanic like pressure decease father legacy excitement renton find pastime rid trapar wave particle disperse throughout air activity akin surf everything change unknown object crash rentons garage discover light find operationa robot capable rid trapar wavesspecifically know nirvash typezero pilot young girl name eureka member gekkostate request tuneup nirvash meeting spark begin rentons involvement gekkostate take alongside eureka copilot nirvash action, adventure, drama, mecha, romance, sci-fi 2000's"
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,isabella daughter noble york family enrol allgirls academy groom dame worthy nobility however give future see prestigious school nothing prison outside world family notice struggle lesson decides hire violet evergarden personally tutor guise handmaiden first isabella treat violet coldly violet seem able everything perfectly lead isabella assume bear silver spoon time together isabella realize violet struggle open isabella soon reveal lose contact beloved younger sister taylor bartlett yearns see experienced power word past clientele violet ask isabella wish write letter taylor violet able help isabella convey feeling longlost sister,2010's,['drama'],isabella daughter noble york family enrol allgirls academy groom dame worthy nobility however give future see prestigious school nothing prison outside world family notice struggle lesson decides hire violet evergarden personally tutor guise handmaiden first isabella treat violet coldly violet seem able everything perfectly lead isabella assume bear silver spoon time together isabella realize violet struggle open isabella soon reveal lose contact beloved younger sister taylor bartlett yearns see experienced power word past clientele violet ask isabella wish write letter taylor violet able help isabella convey feeling longlost sister drama 2010's
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,follow faceless god hitogamis advice seem worked wonder rudeus greyrat enrol university magic tell rudeus reunites childhood friend sylphiette put valiant effort cure condition grow ever closer together decide host wed party invite make announce formalize relationship recent blessing however rudeus trouble far research help shizuka nanahoshi conduct hit bottleneck send deep slump much like experience previous life furthermore letter father paul bring complication rudeus relationship sylphiette still know next nothing real background face issue rudeus apply lesson learn new world navigate challenge come live life fullest,2020's,"['adventure', 'drama', 'ecchi', 'fantasy', 'isekai', 'reincarnation']","follow faceless god hitogamis advice seem worked wonder rudeus greyrat enrol university magic tell rudeus reunites childhood friend sylphiette put valiant effort cure condition grow ever closer together decide host wed party invite make announce formalize relationship recent blessing however rudeus trouble far research help shizuka nanahoshi conduct hit bottleneck send deep slump much like experience previous life furthermore letter father paul bring complication rudeus relationship sylphiette still know next nothing real background face issue rudeus apply lesson learn new world navigate challenge come live life fullest adventure, drama, ecchi, fantasy, isekai, reincarnation 2020's"
